I, [2015-05-15T11:03:05.933181 #15392]  INFO -- Kitchen: -----> Starting Kitchen (v1.4.0)
E, [2015-05-15T11:03:05.933569 #15392] ERROR -- Kitchen: ------Exception-------
E, [2015-05-15T11:03:05.933611 #15392] ERROR -- Kitchen: Class: Kitchen::UserError
E, [2015-05-15T11:03:05.933643 #15392] ERROR -- Kitchen: Message: Kitchen YAML file /Users/aongole/scripts/.kitchen.yml does not exist.
E, [2015-05-15T11:03:05.933677 #15392] ERROR -- Kitchen: ------Backtrace-------
E, [2015-05-15T11:03:05.933706 #15392] ERROR -- Kitchen: /Users/aongole/.rvm/gems/ruby-2.1.1/gems/test-kitchen-1.4.0/lib/kitchen/loader/yaml.rb:74:in `read'
E, [2015-05-15T11:03:05.933735 #15392] ERROR -- Kitchen: /Users/aongole/.rvm/gems/ruby-2.1.1/gems/test-kitchen-1.4.0/lib/kitchen/config.rb:145:in `data'
E, [2015-05-15T11:03:05.933763 #15392] ERROR -- Kitchen: /Users/aongole/.rvm/gems/ruby-2.1.1/gems/test-kitchen-1.4.0/lib/kitchen/config.rb:124:in `suites'
E, [2015-05-15T11:03:05.933790 #15392] ERROR -- Kitchen: /Users/aongole/.rvm/gems/ruby-2.1.1/gems/test-kitchen-1.4.0/lib/kitchen/config.rb:175:in `filter_instances'
E, [2015-05-15T11:03:05.933818 #15392] ERROR -- Kitchen: /Users/aongole/.rvm/gems/ruby-2.1.1/gems/test-kitchen-1.4.0/lib/kitchen/config.rb:134:in `build_instances'
E, [2015-05-15T11:03:05.933874 #15392] ERROR -- Kitchen: /Users/aongole/.rvm/gems/ruby-2.1.1/gems/test-kitchen-1.4.0/lib/kitchen/config.rb:110:in `instances'
E, [2015-05-15T11:03:05.933906 #15392] ERROR -- Kitchen: /Users/aongole/.rvm/gems/ruby-2.1.1/gems/test-kitchen-1.4.0/lib/kitchen/command.rb:115:in `filtered_instances'
E, [2015-05-15T11:03:05.933940 #15392] ERROR -- Kitchen: /Users/aongole/.rvm/gems/ruby-2.1.1/gems/test-kitchen-1.4.0/lib/kitchen/command.rb:145:in `parse_subcommand'
E, [2015-05-15T11:03:05.933970 #15392] ERROR -- Kitchen: /Users/aongole/.rvm/gems/ruby-2.1.1/gems/test-kitchen-1.4.0/lib/kitchen/command/action.rb:38:in `block in call'
E, [2015-05-15T11:03:05.934000 #15392] ERROR -- Kitchen: /Users/aongole/.rvm/rubies/ruby-2.1.1/lib/ruby/2.1.0/benchmark.rb:279:in `measure'
E, [2015-05-15T11:03:05.934029 #15392] ERROR -- Kitchen: /Users/aongole/.rvm/gems/ruby-2.1.1/gems/test-kitchen-1.4.0/lib/kitchen/command/action.rb:37:in `call'
E, [2015-05-15T11:03:05.934058 #15392] ERROR -- Kitchen: /Users/aongole/.rvm/gems/ruby-2.1.1/gems/test-kitchen-1.4.0/lib/kitchen/cli.rb:56:in `perform'
E, [2015-05-15T11:03:05.934088 #15392] ERROR -- Kitchen: /Users/aongole/.rvm/gems/ruby-2.1.1/gems/test-kitchen-1.4.0/lib/kitchen/cli.rb:171:in `block (2 levels) in <class:CLI>'
E, [2015-05-15T11:03:05.934117 #15392] ERROR -- Kitchen: /Users/aongole/.rvm/gems/ruby-2.1.1/gems/thor-0.19.1/lib/thor/command.rb:27:in `run'
E, [2015-05-15T11:03:05.934145 #15392] ERROR -- Kitchen: /Users/aongole/.rvm/gems/ruby-2.1.1/gems/thor-0.19.1/lib/thor/invocation.rb:126:in `invoke_command'
E, [2015-05-15T11:03:05.934174 #15392] ERROR -- Kitchen: /Users/aongole/.rvm/gems/ruby-2.1.1/gems/test-kitchen-1.4.0/lib/kitchen/cli.rb:308:in `invoke_task'
E, [2015-05-15T11:03:05.934208 #15392] ERROR -- Kitchen: /Users/aongole/.rvm/gems/ruby-2.1.1/gems/thor-0.19.1/lib/thor.rb:359:in `dispatch'
E, [2015-05-15T11:03:05.934237 #15392] ERROR -- Kitchen: /Users/aongole/.rvm/gems/ruby-2.1.1/gems/thor-0.19.1/lib/thor/base.rb:440:in `start'
E, [2015-05-15T11:03:05.934266 #15392] ERROR -- Kitchen: /Users/aongole/.rvm/gems/ruby-2.1.1/gems/test-kitchen-1.4.0/bin/kitchen:13:in `block in <top (required)>'
E, [2015-05-15T11:03:05.934295 #15392] ERROR -- Kitchen: /Users/aongole/.rvm/gems/ruby-2.1.1/gems/test-kitchen-1.4.0/lib/kitchen/errors.rb:154:in `with_friendly_errors'
E, [2015-05-15T11:03:05.934323 #15392] ERROR -- Kitchen: /Users/aongole/.rvm/gems/ruby-2.1.1/gems/test-kitchen-1.4.0/bin/kitchen:13:in `<top (required)>'
E, [2015-05-15T11:03:05.934352 #15392] ERROR -- Kitchen: /Users/aongole/.rvm/gems/ruby-2.1.1/bin/kitchen:23:in `load'
E, [2015-05-15T11:03:05.934380 #15392] ERROR -- Kitchen: /Users/aongole/.rvm/gems/ruby-2.1.1/bin/kitchen:23:in `<main>'
E, [2015-05-15T11:03:05.934409 #15392] ERROR -- Kitchen: /Users/aongole/.rvm/gems/ruby-2.1.1/bin/ruby_executable_hooks:15:in `eval'
E, [2015-05-15T11:03:05.934452 #15392] ERROR -- Kitchen: /Users/aongole/.rvm/gems/ruby-2.1.1/bin/ruby_executable_hooks:15:in `<main>'
E, [2015-05-15T11:03:05.934488 #15392] ERROR -- Kitchen: ----------------------
